timestamp_utc,timestamp_local,day_of_week,location_name,free_spaces,total_spaces,occupancy_pct
2026-08-23T21:27:33+00:00,2026-08-23 17:27:33,Sunday,MRC Deck,318,324,2
2026-08-23T21:27:33+00:00,2026-08-23 17:27:33,Sunday,Partners Way,790,798,1
2026-08-23T21:27:33+00:00,2026-08-23 17:27:33,Sunday,Oval West Deck,479,563,15
2026-08-23T21:27:33+00:00,2026-08-23 17:27:33,Sunday,CBC Deck,484,497,3
2026-08-23T21:27:33+00:00,2026-08-23 17:27:33,Sunday,West Deck,789,830,5
2026-08-23T21:27:33+00:00,2026-08-23 17:27:33,Sunday,Coliseum Deck - Visitor Pay Area,101,232,56
2026-08-23T21:27:33+00:00,2026-08-23 17:27:33,Sunday,Coliseum Deck Permit,1482,1682,12
2026-08-23T21:27:33+00:00,2026-08-23 17:27:33,Sunday,Dan Allen Deck Permit,856,984,13
2026-08-23T21:27:33+00:00,2026-08-23 17:27:33,Sunday,Spring Hill Park and Ride,252,259,3
2026-08-23T21:27:33+00:00,2026-08-23 17:27:33,Sunday,Dan Allen Deck - Visitor Pay Area,101,202,50
