"timestamp_utc","timestamp_local","day_of_week","hour_local","minute_local","location_name","free_spaces","total_spaces","occupancy_pct"
"2026-08-21T18:44:13Z","2026-08-21T14:44:13","Friday","14","44","MRC Deck","186","324","43"
"2026-08-21T18:44:13Z","2026-08-21T14:44:13","Friday","14","44","Partners Way","539","798","32"
"2026-08-21T18:44:13Z","2026-08-21T14:44:13","Friday","14","44","Oval West Deck","300","563","47"
"2026-08-21T18:44:13Z","2026-08-21T14:44:13","Friday","14","44","CBC Deck","194","497","61"
"2026-08-21T18:44:13Z","2026-08-21T14:44:13","Friday","14","44","West Deck","570","830","31"
"2026-08-21T18:44:13Z","2026-08-21T14:44:13","Friday","14","44","Coliseum Deck - Visitor Pay Area","127","232","45"
"2026-08-21T18:44:13Z","2026-08-21T14:44:13","Friday","14","44","Coliseum Deck Permit","1125","1682","33"
"2026-08-21T18:44:13Z","2026-08-21T14:44:13","Friday","14","44","Dan Allen Deck Permit","533","984","46"
"2026-08-21T18:44:13Z","2026-08-21T14:44:13","Friday","14","44","Spring Hill Park and Ride","92","259","64"
"2026-08-21T18:44:13Z","2026-08-21T14:44:13","Friday","14","44","Dan Allen Deck - Visitor Pay Area","100","202","50"
"2026-08-21T19:03:35Z","2026-08-21T15:03:35","Friday","15","3","MRC Deck","190","324","41"
"2026-08-21T19:03:35Z","2026-08-21T15:03:35","Friday","15","3","Partners Way","542","798","32"
"2026-08-21T19:03:35Z","2026-08-21T15:03:35","Friday","15","3","Oval West Deck","307","563","45"
"2026-08-21T19:03:35Z","2026-08-21T15:03:35","Friday","15","3","CBC Deck","202","497","59"
"2026-08-21T19:03:35Z","2026-08-21T15:03:35","Friday","15","3","West Deck","587","830","29"
"2026-08-21T19:03:35Z","2026-08-21T15:03:35","Friday","15","3","Coliseum Deck - Visitor Pay Area","134","232","42"
"2026-08-21T19:03:35Z","2026-08-21T15:03:35","Friday","15","3","Coliseum Deck Permit","1117","1682","34"
"2026-08-21T19:03:35Z","2026-08-21T15:03:35","Friday","15","3","Dan Allen Deck Permit","548","984","44"
"2026-08-21T19:03:35Z","2026-08-21T15:03:35","Friday","15","3","Spring Hill Park and Ride","101","259","61"
"2026-08-21T19:03:35Z","2026-08-21T15:03:35","Friday","15","3","Dan Allen Deck - Visitor Pay Area","105","202","48"
